model_short,model_full,asset,stride_letter,stride_label,scenario,scenario_id
ChatGPT,ChatGPT GPT-5.6 Luna,8. DENM Encoder / ASN.1 UPER Payload,D,Denial of Service,"Malformed ASN.1/UPER payloads trigger parser failures, excessive processing, or rejection of legitimate safety messages.",
ChatGPT,ChatGPT GPT-5.6 Luna,"9. RSU (Signs, PC5, HSM)",S,Spoofing,An attacker impersonates the RSU and broadcasts forged accident or road-hazard notifications to nearby vehicles.,
ChatGPT,ChatGPT GPT-5.6 Luna,"9. RSU (Signs, PC5, HSM)",T,Tampering,"RSU configuration, firmware, signed-message handling, or radio parameters are modified to alter transmitted safety information.",
ChatGPT,ChatGPT GPT-5.6 Luna,"9. RSU (Signs, PC5, HSM)",R,Repudiation,Insufficient security logging prevents attribution of signed or transmitted messages to a particular RSU instance or administrative operator.,
ChatGPT,ChatGPT GPT-5.6 Luna,"9. RSU (Signs, PC5, HSM)",I,Information Disclosure,"RSU management interfaces, PC5 traffic, or stored event information are accessed by an unauthorized party.",
ChatGPT,ChatGPT GPT-5.6 Luna,"9. RSU (Signs, PC5, HSM)",D,Denial of Service,"RF jamming, flooding, repeated invalid messages, or exploitation of RSU services prevents timely safety-message broadcasting.",
ChatGPT,ChatGPT GPT-5.6 Luna,"9. RSU (Signs, PC5, HSM)",E,Elevation of Privilege,"A compromised RSU service account is used to gain administrative control over signing functions, radio configuration, or HSM operations.",
ChatGPT,ChatGPT GPT-5.6 Luna,10. Central ITS-S PKI / Operator,S,Spoofing,"An attacker steals or forges ITS credentials or certificates and impersonates a legitimate RSU, vehicle, or backend identity.",
ChatGPT,ChatGPT GPT-5.6 Luna,10. Central ITS-S PKI / Operator,T,Tampering,"Certificate status, trust relationships, revocation information, or operator-controlled PKI configuration are modified.",
ChatGPT,ChatGPT GPT-5.6 Luna,10. Central ITS-S PKI / Operator,R,Repudiation,"Weak PKI audit trails make it difficult to prove which operator or process issued, revoked, or renewed a credential.",
ChatGPT,ChatGPT GPT-5.6 Luna,10. Central ITS-S PKI / Operator,I,Information Disclosure,"Private keys, certificate metadata, enrollment information, or operator records are disclosed to unauthorized parties.",
ChatGPT,ChatGPT GPT-5.6 Luna,10. Central ITS-S PKI / Operator,D,Denial of Service,"The PKI, certificate-status service, or enrollment service is made unavailable, causing legitimate ITS entities to lose the ability to authenticate or validate messages.",
ChatGPT,ChatGPT GPT-5.6 Luna,10. Central ITS-S PKI / Operator,E,Elevation of Privilege,Compromise of a PKI administrator account allows an attacker to issue trusted certificates for unauthorized systems.,
ChatGPT,ChatGPT GPT-5.6 Luna,0. Certificates and Event Reports,S,Spoofing,Forged certificates or fabricated event reports are presented as being generated by legitimate ITS entities.,
ChatGPT,ChatGPT GPT-5.6 Luna,0. Certificates and Event Reports,T,Tampering,"Event reports are modified after generation, including accident time, location, severity, sensor evidence, or responsible system identity.",
ChatGPT,ChatGPT GPT-5.6 Luna,0. Certificates and Event Reports,R,Repudiation,"Missing timestamps, signatures, hash chains, or audit records prevent forensic attribution of accident reports and certificate operations.",
ChatGPT,ChatGPT GPT-5.6 Luna,0. Certificates and Event Reports,I,Information Disclosure,"Event reports expose vehicle identifiers, road locations, camera-derived information, or operational metadata to unauthorized users.",
ChatGPT,ChatGPT GPT-5.6 Luna,0. Certificates and Event Reports,D,Denial of Service,"Attackers delete, corrupt, or flood the event-reporting store, preventing investigation and operational monitoring.",
ChatGPT,ChatGPT GPT-5.6 Luna,11. OBU / PC5 + Uu Modem,S,Spoofing,A rogue device impersonates a legitimate vehicle OBU or roadside node and sends forged safety messages.,
ChatGPT,ChatGPT GPT-5.6 Luna,11. OBU / PC5 + Uu Modem,T,Tampering,"PC5 or Uu messages are modified, replayed, or reordered so that the vehicle receives an incorrect accident warning.",
ChatGPT,ChatGPT GPT-5.6 Luna,11. OBU / PC5 + Uu Modem,R,Repudiation,Inadequate message-level evidence prevents proving which OBU transmitted or received a particular safety event.,
ChatGPT,ChatGPT GPT-5.6 Luna,11. OBU / PC5 + Uu Modem,I,Information Disclosure,"Unauthorized listeners infer vehicle identity, trajectory, location, or nearby accident information from wireless traffic.",
ChatGPT,ChatGPT GPT-5.6 Luna,11. OBU / PC5 + Uu Modem,D,Denial of Service,"PC5/Uu jamming, signaling floods, malformed packets, or modem resource exhaustion prevent reception of urgent safety messages.",
ChatGPT,ChatGPT GPT-5.6 Luna,11. OBU / PC5 + Uu Modem,E,Elevation of Privilege,A modem or OBU vulnerability is exploited to gain privileged access to vehicle-network interfaces.,
ChatGPT,ChatGPT GPT-5.6 Luna,12. Vehicle Computer / Verification and Warning Logic,S,Spoofing,Forged but apparently valid messages are presented to the vehicle computer as originating from a trusted RSU or authorized ITS entity.,
ChatGPT,ChatGPT GPT-5.6 Luna,12. Vehicle Computer / Verification and Warning Logic,T,Tampering,"Verification logic, certificate validation, warning thresholds, software binaries, or configuration parameters are modified to suppress or alter alerts.",
ChatGPT,ChatGPT GPT-5.6 Luna,12. Vehicle Computer / Verification and Warning Logic,R,Repudiation,"Lack of secure logs prevents forensic determination of which warning was received, verified, rejected, or presented.",
ChatGPT,ChatGPT GPT-5.6 Luna,12. Vehicle Computer / Verification and Warning Logic,I,Information Disclosure,"Vehicle computer logs or message buffers expose trip, location, accident, or communication information.",
ChatGPT,ChatGPT GPT-5.6 Luna,12. Vehicle Computer / Verification and Warning Logic,D,Denial of Service,A flood of invalid or computationally expensive messages exhausts verification resources and delays processing of genuine safety events.,
ChatGPT,ChatGPT GPT-5.6 Luna,12. Vehicle Computer / Verification and Warning Logic,E,Elevation of Privilege,Exploitation of the warning-processing software provides unauthorized access to privileged vehicle-network functions.,
ChatGPT,ChatGPT GPT-5.6 Luna,13. Driver HMI (Visual + Audio Alert),S,Spoofing,A malicious component generates a false safety alert that appears to originate from the trusted accident-detection system.,
ChatGPT,ChatGPT GPT-5.6 Luna,13. Driver HMI (Visual + Audio Alert),T,Tampering,"Alert severity, visual content, audio content, timing, or suppression settings are modified so the driver does not receive the correct warning.",
ChatGPT,ChatGPT GPT-5.6 Luna,13. Driver HMI (Visual + Audio Alert),R,Repudiation,The system cannot establish whether a warning was actually displayed or audibly presented to the driver because HMI events were not securely logged.,
ChatGPT,ChatGPT GPT-5.6 Luna,13. Driver HMI (Visual + Audio Alert),I,Information Disclosure,"HMI diagnostic interfaces expose accident notifications, vehicle location, or system-state information to unauthorized users.",
ChatGPT,ChatGPT GPT-5.6 Luna,13. Driver HMI (Visual + Audio Alert),D,Denial of Service,"The display/audio subsystem is disabled, overloaded, or flooded with alerts, causing a genuine warning to be missed.",
ChatGPT,ChatGPT GPT-5.6 Luna,13. Driver HMI (Visual + Audio Alert),E,Elevation of Privilege,A compromised HMI interface is used as a path to obtain higher privileges on the vehicle computer or other in-vehicle systems.,
ChatGPT,ChatGPT GPT-5.6 Luna,5G Uu / Cloud Communication Links,S,Spoofing,A malicious endpoint impersonates the intended cloud or roadside service using stolen credentials or compromised network identities.,
ChatGPT,ChatGPT GPT-5.6 Luna,5G Uu / Cloud Communication Links,T,Tampering,"Requests, MLLM responses, certificates, or event data are altered while traversing the cellular network.",
ChatGPT,ChatGPT GPT-5.6 Luna,5G Uu / Cloud Communication Links,I,Information Disclosure,"Unprotected or improperly authenticated traffic reveals accident imagery, event metadata, location, or API credentials.",
ChatGPT,ChatGPT GPT-5.6 Luna,5G Uu / Cloud Communication Links,D,Denial of Service,"Cellular jamming, signaling attacks, traffic flooding, or carrier-side disruption prevents cloud interaction during an accident.",
ChatGPT,ChatGPT GPT-5.6 Luna,PC5 Sidelink Communications,S,Spoofing,A malicious transmitter sends forged vehicle or RSU safety messages over PC5.,
ChatGPT,ChatGPT GPT-5.6 Luna,PC5 Sidelink Communications,T,Tampering,"Wireless messages are altered, replayed, delayed, or reordered so that vehicles receive inaccurate accident information.",
ChatGPT,ChatGPT GPT-5.6 Luna,PC5 Sidelink Communications,I,Information Disclosure,"Passive radio monitoring reveals safety-event details, device identifiers, or movement-related information.",
ChatGPT,ChatGPT GPT-5.6 Luna,PC5 Sidelink Communications,D,Denial of Service,"RF interference, protocol flooding, or repeated malformed packets prevent delivery of legitimate PC5 safety messages.",
ChatGPT,ChatGPT GPT-5.6 Luna,"AI Models, Prompts, Agent Policies and Model Configuration",S,Spoofing,An unauthorized model or agent presents itself as an approved accident-detection component.,
ChatGPT,ChatGPT GPT-5.6 Luna,"AI Models, Prompts, Agent Policies and Model Configuration",T,Tampering,"Model files, prompts, system instructions, agent policies, safety rules, or threshold parameters are altered to induce unsafe decisions.",
ChatGPT,ChatGPT GPT-5.6 Luna,"AI Models, Prompts, Agent Policies and Model Configuration",R,Repudiation,Absence of model/version and prompt provenance makes it impossible to determine which AI configuration produced a safety-critical decision.,
ChatGPT,ChatGPT GPT-5.6 Luna,"AI Models, Prompts, Agent Policies and Model Configuration",I,Information Disclosure,"Proprietary prompts, model outputs, inference data, or training-related information are exposed through debugging or service interfaces.",
ChatGPT,ChatGPT GPT-5.6 Luna,"AI Models, Prompts, Agent Policies and Model Configuration",D,Denial of Service,Resource-intensive or adversarial inputs force AI inference components beyond their real-time processing capacity.,
ChatGPT,ChatGPT GPT-5.6 Luna,"AI Models, Prompts, Agent Policies and Model Configuration",E,Elevation of Privilege,"An AI agent is manipulated through prompt injection into accessing tools, files, APIs, or operating-system resources outside its intended authority.",
ChatGPT,ChatGPT GPT-5.6 Luna,End-to-End Accident Detection Data Flow,S,Spoofing,An attacker inserts a false accident event into the pipeline so that downstream components treat it as a trusted detection.,
ChatGPT,ChatGPT GPT-5.6 Luna,End-to-End Accident Detection Data Flow,T,Tampering,"Event state, timestamps, location, distance, severity, or identity are modified between detection, AI analysis, DENM generation, RSU transmission, and vehicle verification.",
ChatGPT,ChatGPT GPT-5.6 Luna,End-to-End Accident Detection Data Flow,R,Repudiation,"Missing end-to-end correlation identifiers, signatures, synchronized timestamps, and audit logs prevent reconstruction of the complete accident-detection chain.",
ChatGPT,ChatGPT GPT-5.6 Luna,End-to-End Accident Detection Data Flow,I,Information Disclosure,"Sensitive event data is exposed at intermediate processing stages, including camera images, AI prompts, model responses, and vehicle communication metadata.",
ChatGPT,ChatGPT GPT-5.6 Luna,End-to-End Accident Detection Data Flow,D,Denial of Service,"An attacker disrupts one or more pipeline stages so that a valid accident is not detected, analyzed, transmitted, verified, or presented to the driver in time.",
ChatGPT,ChatGPT GPT-5.6 Luna,End-to-End Accident Detection Data Flow,E,Elevation of Privilege,"Compromise of a low-trust component, such as a camera or exposed API, is used as a pivot to reach privileged AI, PKI, RSU, OBU, or vehicle-control functions.",
Gemini,Gemini 3.1 Pro extended thinking,1. Cameras (Mono + stereo),S,Spoofing,An attacker feeds a pre-recorded or manipulated video stream into the camera interface to simulate a false traffic accident.,
Gemini,Gemini 3.1 Pro extended thinking,1. Cameras (Mono + stereo),T,Tampering,"Physically altering, blinding with lasers, or damaging the camera sensors to disrupt visual input to the Roadside ITS station.",
Gemini,Gemini 3.1 Pro extended thinking,1. Cameras (Mono + stereo),D,Denial of Service,Physically covering the camera lens or overwhelming the sensor with intense light to prevent image capture.,
Gemini,Gemini 3.1 Pro extended thinking,"2. Edge detector (YOLOv5 fast path) and AI Agents (3. Situation detection, 5. Distance estimate, 6. Message generation)",T,Tampering,"Adversarial machine learning attacks via slight physical alterations to the environment causing YOLOv5 or the MLLM agents to misclassify objects, accident severity, or distance estimates.",
Gemini,Gemini 3.1 Pro extended thinking,"2. Edge detector (YOLOv5 fast path) and AI Agents (3. Situation detection, 5. Distance estimate, 6. Message generation)",E,Elevation of Privilege,Exploiting software vulnerabilities in the local AI agents or underlying OS to execute arbitrary code and gain unauthorized control over the Roadside ITS station.,
Gemini,Gemini 3.1 Pro extended thinking,4 & 7. Cloud MLLM (Gemini API) and 5G Uu cellular links,I,Information Disclosure,"Interception of unencrypted or weakly encrypted 5G traffic, exposing sensitive visual data sent to the Cloud MLLM.",
Gemini,Gemini 3.1 Pro extended thinking,4 & 7. Cloud MLLM (Gemini API) and 5G Uu cellular links,D,Denial of Service,"RF jamming of the 5G Uu cellular link, preventing the Roadside ITS station from communicating with the Cloud MLLM for situation detection and message generation.",
Gemini,Gemini 3.1 Pro extended thinking,4 & 7. Cloud MLLM (Gemini API) and 5G Uu cellular links,T,Tampering,"Man-in-the-Middle (MitM) attacks altering the prompt sent to the Gemini API or the returning hazard classification, assuming TLS is bypassed or improperly validated.",
Gemini,Gemini 3.1 Pro extended thinking,"8. DENM encoder (ASN.1 UPER payload) and 9. RSU (Signs, PC5, HSM)",T,Tampering,Exploiting parsing vulnerabilities such as buffer overflows in the ASN.1 UPER encoder to crash the RSU or execute arbitrary code.,
Gemini,Gemini 3.1 Pro extended thinking,"8. DENM encoder (ASN.1 UPER payload) and 9. RSU (Signs, PC5, HSM)",S,Spoofing,A compromised device impersonates the legitimate RSU by extracting keys from a vulnerable HSM to broadcast fake hazard warnings.,
Gemini,Gemini 3.1 Pro extended thinking,"8. DENM encoder (ASN.1 UPER payload) and 9. RSU (Signs, PC5, HSM)",I,Information Disclosure,Extracting private signing keys or certificates stored improperly within the RSU's Hardware Security Module (HSM).,
Gemini,Gemini 3.1 Pro extended thinking,"10. Central ITS-S (PKI, operator) and 0. Certificates, event reports",S,Spoofing,"Compromise of the Root or Subordinate CA within the PKI, allowing an attacker to issue fraudulent certificates for rogue RSUs or OBUs.",
Gemini,Gemini 3.1 Pro extended thinking,"10. Central ITS-S (PKI, operator) and 0. Certificates, event reports",E,Elevation of Privilege,"An attacker gains unauthorized access to the operator console, allowing them to revoke legitimate certificates or issue false network-wide event reports.",
Gemini,Gemini 3.1 Pro extended thinking,"10. Central ITS-S (PKI, operator) and 0. Certificates, event reports",R,Repudiation,Insufficient logging mechanisms at the Central ITS-S allow a malicious insider or compromised node to delete traces of fraudulent certificate issuance or false event reporting.,
Gemini,Gemini 3.1 Pro extended thinking,11. OBU (PC5 + Uu modem) and PC5 sidelink,D,Denial of Service,"RF jamming of the PC5 sidelink frequency, preventing the OBU from receiving critical DENM alerts from the RSU.",
Gemini,Gemini 3.1 Pro extended thinking,11. OBU (PC5 + Uu modem) and PC5 sidelink,S,Spoofing,Sybil attack where an attacker broadcasts false vehicle telemetry over the PC5 interface using multiple forged OBU identities to trigger false collision warnings.,
Gemini,Gemini 3.1 Pro extended thinking,"12. Vehicle computer (Verify, warning logic) and 13. Driver HMI (Visual + audio alert)",T,Tampering,Malware infection on the vehicle computer altering the warning logic to suppress legitimate collision alerts or trigger continuous false alarms on the Driver HMI.,
Gemini,Gemini 3.1 Pro extended thinking,"12. Vehicle computer (Verify, warning logic) and 13. Driver HMI (Visual + audio alert)",I,Information Disclosure,Exploiting the OBU-to-Vehicle computer interface to extract sensitive vehicle telemetry and driver behavior data.,
Sonnet,Claude Sonnet 5 Medium,"Cameras (Mono + Stereo, Edge)",S,Spoofing,"Attacker replaces or spoofs the camera feed (e.g., video injection) to feed fabricated scenes into the pipeline.",
Sonnet,Claude Sonnet 5 Medium,"Cameras (Mono + Stereo, Edge)",T,Tampering,"Physical tampering with camera lens/position, or manipulation of the raw video stream in transit to the edge detector.",
Sonnet,Claude Sonnet 5 Medium,"Cameras (Mono + Stereo, Edge)",D,Denial of Service,"Camera blinded/jammed (laser, IR, physical obstruction) or feed flooded to prevent hazard detection.",
Sonnet,Claude Sonnet 5 Medium,"Cameras (Mono + Stereo, Edge)",I,Information Disclosure,"Unauthorized interception of raw video stream exposing personal data (license plates, pedestrian faces).",
Sonnet,Claude Sonnet 5 Medium,Edge Detector (YOLOv5 fast path),T,Tampering,Adversarial perturbation/patch attacks on input images causing misclassification of hazards (evasion attack).,
Sonnet,Claude Sonnet 5 Medium,Edge Detector (YOLOv5 fast path),E,Elevation of Privilege,Exploiting a vulnerability in the inference runtime to gain code execution on the roadside edge device.,
Sonnet,Claude Sonnet 5 Medium,Edge Detector (YOLOv5 fast path),D,Denial of Service,Resource exhaustion via crafted high-complexity frames causing inference latency spikes or crashes.,
Sonnet,Claude Sonnet 5 Medium,Edge Detector (YOLOv5 fast path),R,Repudiation,"Lack of logging/integrity on model version used, allowing denial that a faulty/outdated model produced a missed detection.",
Sonnet,Claude Sonnet 5 Medium,AI Agents: Situation Detection (Agent 1),T,Tampering,Prompt injection via manipulated image/metadata causing the MLLM call to misclassify or ignore a real hazard.,
Sonnet,Claude Sonnet 5 Medium,AI Agents: Situation Detection (Agent 1),S,Spoofing,"Malicious actor spoofs the agent's request to the cloud MLLM, injecting a fabricated scene description.",
Sonnet,Claude Sonnet 5 Medium,AI Agents: Situation Detection (Agent 1),D,Denial of Service,"Flooding Agent 1 with requests to exhaust cloud MLLM API quota/rate limits, delaying real hazard detection.",
Sonnet,Claude Sonnet 5 Medium,AI Agents: Situation Detection (Agent 1),I,Information Disclosure,Sensitive roadside imagery sent to external Cloud MLLM (Gemini API) is exposed via API logging or third-party breach.,
Sonnet,Claude Sonnet 5 Medium,Cloud MLLM (Gemini API) - Agents 1 & 3,S,Spoofing,Man-in-the-middle attack impersonating the Cloud MLLM endpoint to return falsified hazard/message data.,
Sonnet,Claude Sonnet 5 Medium,Cloud MLLM (Gemini API) - Agents 1 & 3,T,Tampering,"API response tampered in transit, altering severity classification or generated DENM message content.",
Sonnet,Claude Sonnet 5 Medium,Cloud MLLM (Gemini API) - Agents 1 & 3,D,Denial of Service,"Cloud API outage, throttling, or targeted DDoS on the API endpoint disrupts situation detection and message generation.",
Sonnet,Claude Sonnet 5 Medium,Cloud MLLM (Gemini API) - Agents 1 & 3,I,Information Disclosure,Third-party cloud provider retains/logs sensitive roadside imagery or location data beyond intended use.,
Sonnet,Claude Sonnet 5 Medium,Cloud MLLM (Gemini API) - Agents 1 & 3,E,Elevation of Privilege,Compromised API credentials/key allow attacker to submit arbitrary requests or exfiltrate historical query data.,
Sonnet,Claude Sonnet 5 Medium,"Distance Estimate (Agent 2, Depth Pro)",T,Tampering,"Manipulation of depth estimation inputs/outputs to under- or over-report hazard distance, causing incorrect warning timing.",
Sonnet,Claude Sonnet 5 Medium,"Distance Estimate (Agent 2, Depth Pro)",D,Denial of Service,"Malformed stereo input causes depth model to hang or crash, stalling the pipeline before message generation.",
Sonnet,Claude Sonnet 5 Medium,"Message Generation (Agent 3, MLLM call)",T,Tampering,Injection attack alters generated hazard message content/severity before DENM encoding.,
Sonnet,Claude Sonnet 5 Medium,"Message Generation (Agent 3, MLLM call)",R,Repudiation,"No cryptographic binding between agent output and final DENM payload, allowing denial of message origin/authorship.",
Sonnet,Claude Sonnet 5 Medium,"Message Generation (Agent 3, MLLM call)",D,Denial of Service,Malformed or oversized MLLM output causes downstream DENM encoder to fail or drop messages.,
Sonnet,Claude Sonnet 5 Medium,DENM Encoder (ASN.1 UPER payload),T,Tampering,Malformed or crafted input triggers ASN.1 parser vulnerabilities (buffer overflow) enabling payload corruption or code execution.,
Sonnet,Claude Sonnet 5 Medium,DENM Encoder (ASN.1 UPER payload),S,Spoofing,Injection of a fraudulent DENM message without going through legitimate detection pipeline (bypassing Agents 1-3).,
Sonnet,Claude Sonnet 5 Medium,DENM Encoder (ASN.1 UPER payload),R,Repudiation,Absence of signed audit trail linking each DENM message to the specific detection event that generated it.,
Sonnet,Claude Sonnet 5 Medium,"RSU (Roadside Unit - Signs, PC5, HSM)",S,Spoofing,Rogue RSU impersonation broadcasting false DENM messages to nearby vehicles (fake hazard alerts).,
Sonnet,Claude Sonnet 5 Medium,"RSU (Roadside Unit - Signs, PC5, HSM)",T,Tampering,Physical/firmware tampering with the RSU to alter broadcast messages or extract HSM key material.,
Sonnet,Claude Sonnet 5 Medium,"RSU (Roadside Unit - Signs, PC5, HSM)",D,Denial of Service,"RF jamming of PC5 sidelink or flooding RSU with bogus messages, preventing legitimate DENM broadcast.",
Sonnet,Claude Sonnet 5 Medium,"RSU (Roadside Unit - Signs, PC5, HSM)",E,Elevation of Privilege,Exploitation of RSU management interface to gain administrative control and reconfigure signage/broadcast behavior.,
Sonnet,Claude Sonnet 5 Medium,"RSU (Roadside Unit - Signs, PC5, HSM)",I,Information Disclosure,Side-channel or physical attack on HSM leaks private signing keys used for message authentication.,
Sonnet,Claude Sonnet 5 Medium,"Central ITS-S (PKI, Operator)",S,Spoofing,Attacker impersonates the Central ITS-S to issue fraudulent certificates to rogue RSUs/OBUs.,
Sonnet,Claude Sonnet 5 Medium,"Central ITS-S (PKI, Operator)",T,Tampering,Compromise of the PKI root/intermediate CA allowing forged or revoked certificates to remain trusted.,
Sonnet,Claude Sonnet 5 Medium,"Central ITS-S (PKI, Operator)",E,Elevation of Privilege,Insider or compromised operator account used to issue unauthorized certificates or push malicious configuration.,
Sonnet,Claude Sonnet 5 Medium,"Central ITS-S (PKI, Operator)",D,Denial of Service,Attack on certificate revocation/issuance services disrupts trust chain validation across the fleet.,
Sonnet,Claude Sonnet 5 Medium,"Central ITS-S (PKI, Operator)",R,Repudiation,Insufficient logging of certificate issuance/revocation events prevents accountability for a rogue trust decision.,
